"prov_cdc","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"LAURICOCHA",28437.3104925054,0.422385974109054,71.2037257609397,51.9239008168965,7.34688074352274,570.618715702352
"YAROWILCA",24211.9871520343,0.300668529919315,73.0639771887621,55.3025022707929,5.07122143611143,269.330705986296
"ICA",391502.376873662,0.639701672784679,79.7628963677235,77.8344685817918,10.7337909821647,1045.30969321824
"CHINCHA",232567.937901499,0.58832352616094,80.7315189931485,67.7754330146485,9.74306170099357,912.667454089565
"NAZCA",63045.6937901499,0.612562282061654,80.4725337018132,71.0655032540527,9.96799940373585,993.512614895662
"PALPA",10811.0599571734,0.607555711702318,80.8313621949415,81.740162115342,9.25421057171256,941.930214191371
"PISCO",145320.927194861,0.574090958577166,75.9885256445955,71.1927345481603,9.73155802585954,905.331942537012
"HUANCAYO",532995.856531049,0.576126155747246,72.6512617684418,75.3898506775433,10.0891294158247,929.704901759129
"CONCEPCION",51989.7837259101,0.453853110513058,72.2278016094293,61.5034861880464,7.69951219636173,614.165450176133
"CHANCHAMAYO",192640.419700214,0.478648032961303,75.4681445331281,57.9912681306908,7.49122990900555,701.591045702336
"JAUJA",74942.2334047109,0.500636544184358,71.0874392865989,67.299428494505,8.46772077490382,751.313310310202
"JUNIN",17083.7280513919,0.431471860723871,69.796043887657,63.5031159704624,7.52619975855144,559.082131231115
"SATIPO",273478.841541756,0.393847202784345,74.0170546417817,51.3047157849826,6.78518106875986,469.339491902347
"TARMA",93037.1970021413,0.477457888731104,74.2109156769472,63.3132082196024,7.62691752727718,676.784943248699
"YAULI",34588.5374732334,0.636860163344852,76.7396915257983,69.2973092008576,9.87302436592297,1211.37136770456
"CHUPACA",52647.4068522484,0.510284435266002,72.3096510839489,67.8826584584386,8.50498742928963,768.704463403705
"TRUJILLO",1021618.69379015,0.639914596032168,79.3506828056426,68.70230972807,10.0423717198685,1164.17595895185
"ASCOPE",119730.847965739,0.584927811478705,77.7799864872892,69.6105381966272,8.75669954879699,995.308484023273
"BOLIVAR",14367.5139186295,0.294998261362243,79.0069423978274,31.8539942214328,5.20579236662884,289.349034003786
"CHEPEN",87631.4967880086,0.558693646146731,78.7184237362787,67.8158300242122,7.89377695184767,925.02348123647
"JULCAN",26141.4817987152,0.21955269163205,72.2291722596955,41.3923798246531,3.93663380119406,167.79846762964
"OTUZCO",83747.8586723769,0.278322949710468,75.5107599061627,39.3361922834198,4.37244459683379,271.486484457552
"PACASMAYO",104900.282655246,0.57922443766549,81.4512325940241,68.6511824669064,8.46123329842832,932.177169919558
"PATAZ",85884.6573875803,0.392855935777298,75.0844570278596,43.4591814169508,5.71487857209851,552.260619469412
"SANCHEZ CARRION",157501.704496788,0.28632748315696,75.2820576632866,43.5124916482282,3.9337196748564,305.030458880608
"SANTIAGO DE CHUCO",55868.5096359743,0.352373208439143,76.964197160893,43.5174724190343,5.50517039474119,404.556497790203
"GRAN CHIMU",28810.5117773019,0.372397790744179,73.987018923485,38.9277822619797,5.2753628991618,540.152737405416
"VIRU",121819.745182013,0.500233557710893,77.2559194358801,49.8023217054088,6.51074891191709,906.616710007589
"CHICLAYO",851583.31477516,0.578176327430654,80.4988772870428,73.7840583574932,9.55096161470864,846.61488684264
"FERREÑAFE",103628.299785867,0.423008219796997,71.4470321879557,54.1654257399935,7.33534057063762,559.526630895604
"LAMBAYEQUE",309056.087794433,0.477565771225824,75.5917812093293,60.1106356595908,7.33039940807018,693.0790158764
"LIMA",9188544.51605996,0.725512871501011,79.9737171619527,75.9598981137387,10.6228580246956,1530.5322258364
"BARRANCA",152274.147751606,0.630704295977287,81.3050769692557,69.9872697378128,8.88709271717888,1150.06086586845
"CAJATAMBO",6589.60599571735,0.384518578224376,70.3173363480913,48.8748776877006,7.00927912397616,473.195888709113
"CANTA",14112.9978586724,0.568441901944859,75.8532373268361,64.2732195054797,8.05334876366479,1039.10849101381
"CAÑETE",253013.610278373,0.684562180648377,80.0253685547758,80.1432461911722,9.73046522642619,1323.85866603778
"HUARAL",197262.593147752,0.632245619233628,79.8834211333905,69.8252874236854,8.79485114994358,1196.2695890043
"HUAROCHIRI",75144.0278372591,0.551932831420412,72.7521010609449,64.6635327891044,9.06592242018937,940.322793392508
"HUAURA",233097.464668094,0.650962551949398,77.5267934190679,71.7864522775701,10.26314457986,1222.44184133652
"OYON",21539.1263383298,0.577020074336881,80.6072349526267,55.9918257185396,9.04700678690705,990.899345956487
"YAUYOS",23551.7323340471,0.446639148512079,75.4560793897318,54.8209100933834,8.32922624510101,555.19386524508
"MAYNAS",524436.740899358,0.563807716920938,74.1934483901002,55.669689045977,10.0300261064481,983.610925940151
"ALTO AMAZONAS",125262.82869379,0.435779309053746,74.2477434821225,35.588062906211,8.06168046231145,662.376435605074
"LORETO",67391.6937901499,0.363538669551432,71.9355720425065,35.4094821208231,6.07276374485921,498.818261610802
"MARISCAL RAMON CASTILLA",67487.9143468951,0.351602495483565,69.3269513610107,30.9773575489091,6.06853352289389,510.268243845686
"REQUENA",69622.4346895075,0.377398345687469,75.037419253324,36.4835588453122,6.78713811501431,478.85705217813
"UCAYALI",66480.3040685225,0.400057915393813,70.1924498503374,42.0333024066997,7.01335889452416,568.407965029654
"DATEM DEL MARAÑON",56099.3344374554,0.319824439511322,76.524353604864,22.7818714310608,5.55705781855203,417.486489184799
"PUTUMAYO",8005.56004802123,0.398934666479893,78.0812423810759,27.3316872991543,5.71487368823532,679.442983562329
"TAMBOPATA",113293.374732334,0.61846243909341,73.0207946695047,65.3716896487567,9.63602914075221,1248.05394302821
"MANU",19811.2043187108,0.594538838982345,75.2406531682286,61.0532054303852,7.84509294670456,1248.50629853666
"TAHUAMANU",13746.8094218415,0.644390088785895,81.7533512643453,53.0332080328062,8.74433619748266,1404.23525291878
"MARISCAL NIETO",85938.3725910064,0.693239989073091,77.7514680637193,74.4583207315076,10.4162918205531,1424.67036944774
"GENERAL SANCHEZ CERRO",22748.2912205567,0.530869977186044,79.0208057291297,70.1048542195818,8.32737902515813,756.559788339402
"ILO",73895.3661670236,0.685808382576186,78.0712940140075,72.6519805416152,10.7732591471846,1361.66784332405
"PASCO",142543.096359743,0.545533872036433,74.6435484772639,79.2765247691616,9.75078248655856,761.0013931533
